priority,title,finding,business_impact,recommended_action
1,After-refund revenue establishes the commercial baseline,"Booked net revenue is $34,736,795; refunds reduce it to $33,819,546 (2.6% leakage).",Using booked revenue alone overstates realized commercial value.,Use RevenueAfterRefund as the executive revenue KPI and monitor refund leakage beside growth.
2,Latest year-over-year momentum,The latest complete monthly comparison shows 92.9% year-over-year after-refund revenue growth.,"Growth direction affects inventory, acquisition, and capacity planning.","Decompose the change by orders, active customers, AOV, channel, and category before setting targets."
3,Demand is concentrated in a seasonal peak,Month 12 has the highest revenue seasonality index at 1.86x an average month.,"Seasonal concentration raises stockout, fulfillment, and working-capital risk.",Plan inventory and carrier capacity against the seasonal index and track forecast error by category.
4,Acquisition-source quality differs,"Marketplace leads after-refund revenue per purchasing customer at $3,301.",Volume-only acquisition reporting can reward low-value sources.,"Compare source-level cost with purchaser conversion, repeat rate, and after-refund value before reallocating spend."
5,Repeat behavior drives portfolio economics,67.8% of acquired customers are repeat customers and 90.8% of valid orders are repeat purchases.,Second-order conversion is a leading indicator of retention and future value.,Build 30/60/90-day post-purchase journeys and measure incremental second-order conversion.
6,Month-one cohort retention sets the early baseline,Average month-one cohort retention is 31.3% across observed cohorts.,Weak early retention limits CLV even when acquisition volume grows.,"Monitor cohort retention by acquisition source and first-purchase category, using only mature cohorts."
7,Customer value is exposed to churn risk,"At Risk and High Risk customers represent $2,514,351 in historical after-refund revenue.",Losing high-value customers creates disproportionate revenue risk.,Prioritize win-back tests by risk status and historical value rank; use holdouts to measure incrementality.
8,Category profit leadership,"Electronics contributes the highest gross profit at $4,299,565 with 54.4% margin.",Revenue leadership and profit leadership may require different assortment decisions.,Protect availability for high-profit products and review low-margin volume for basket-building value.
9,Returns identify a category-quality hotspot,"Outdoor has the highest unit return rate at 2.7% and $110,753 in refunds.","Returns reduce realized revenue and may signal quality, content, or expectation problems.","Break the category down by SKU and reason; assign corrective work to supplier, packaging, or content owners."
10,A fulfillment lane requires attention,"USPS in West has the lowest qualifying on-time rate at 55.4% across 9,168 deliveries.","Late delivery can drive support contacts, churn, and 'Too Late' returns.",Review lane-level SLA performance and test routing rules against on-time delivery and cost.
11,Campaign attribution must be evaluated on profit,"Fall Essentials 2025 has the highest directly attributed gross profit at $153,909.",High attributed revenue may still be discount-dependent and is not proof of incrementality.,Add campaign cost and randomized holdouts before making budget decisions; retain direct attribution as descriptive reporting.
12,Value concentration and experience signals,39.8% of purchasing customers generate 80% of after-refund revenue. Low-rating reviews return at 60.4% versus 0.3% for ratings 4-5; promoted gross profit per order differs by -6.0% from non-promoted orders.,Concentrated value and review-return alignment help prioritize retention and product-quality work.,"Protect high-value relationships, investigate low-rating SKUs, and treat promotion comparisons as hypotheses for controlled tests."
